distance,depth,length,width
1562.43,11,12,30
1563.11,10,8,15
1563.11,10,11,15
1575.40,10,11,15
1576.37,10,17,15
1587.83,10,15,15
1587.94,14,19,16
1589.85,14,11,21
1596.54,10,18,15
1597.01,11,15,16
1597.31,11,17,15
1599.59,11,20,15
1599.59,16,13,23
1599.65,18,12,15
1599.68,10,15,22
1600.65,12,19,15
1602.34,10,21,15
1602.95,11,19,15
1603.31,11,15,15
1611.26,11,24,32
1611.63,10,16,15
1612.13,11,27,15
1612.22,12,13,15
1612.29,13,18,20
1612.29,16,19,15
1612.67,11,11,15
1612.90,11,14,15
1613.13,11,18,15
1613.57,10,18,18
1614.04,10,19,15
1614.30,12,21,34
1614.51,14,17,20
1619.64,10,26,15
1620.18,10,33,15
1620.98,12,29,15
1620.99,16,17,16
1742.44,10,29,17
1750.81,11,22,19
1753.18,10,25,33
1753.18,10,31,193
1753.27,16,23,15
1753.27,11,15,15
1753.46,10,28,16
1753.48,18,15,44
1753.53,17,22,24
1753.58,11,16,15
1753.70,10,18,15
1753.71,10,14,25
1753.71,11,15,15
1753.75,19,19,15
1753.88,10,25,19
1753.98,13,11,15
1754.03,12,11,15
1754.14,13,17,18
1754.15,12,13,15
1754.15,12,13,21
1754.32,12,12,15
1754.33,11,17,27
1754.48,12,17,36
1754.57,13,30,15
1754.57,20,18,46
1754.60,10,21,35
1754.68,12,10,15
1754.88,10,11,15
1755.06,10,12,16
1755.14,12,14,15
1755.26,10,13,15
1755.27,13,16,15
1755.67,10,17,15
1760.86,10,9,15
1763.67,12,10,15
1763.79,10,11,17
1763.85,10,11,15
1767.03,10,29,15
1786.86,10,12,15
1847.62,10,10,15
1860.32,10,25,40
1861.41,14,19,32
1861.70,10,23,15
1861.95,13,19,15
1861.96,13,15,15
1862.30,11,15,15
1862.89,11,11,15
1864.02,10,19,15
1865.53,12,34,15
1868.51,12,9,15
1869.44,10,22,15
1870.29,13,16,15
1872.12,10,24,16
1884.39,11,32,15
1886.74,11,14,16
1887.36,13,20,16
1891.34,10,12,15
1894.53,10,10,15
1896.20,15,33,15
1896.20,10,19,27
1920.32,13,21,23
1932.93,10,12,24
1933.84,15,27,35
1933.91,13,11,15
1934.05,13,20,15
1934.05,19,18,49
1934.33,11,18,15
1934.34,15,15,17
1934.50,12,17,28
1934.87,10,10,15
1935.06,10,12,17
1935.13,11,11,15
1942.56,12,10,15
1942.98,10,19,15
1943.07,10,22,22
1957.01,13,20,15
1957.35,10,30,15
1958.18,11,15,15
1965.48,11,19,15
1965.85,16,23,34
1967.15,10,9,15
1967.45,12,28,15
1967.46,17,20,28
1967.51,10,11,15
1967.62,10,15,15
1968.09,10,14,16
1968.40,12,19,15
1968.40,10,13,15
1968.46,10,35,15
1991.27,11,10,15
1991.32,12,16,17
1991.40,15,26,15
1991.61,10,12,15
1991.75,10,11,15
1992.41,10,27,15
2008.55,10,27,33
2014.23,11,32,16
2014.52,10,20,15
2015.34,11,23,37
2026.49,11,12,17
2028.80,12,34,15
2029.19,12,19,15
2029.46,17,10,15
2029.65,11,14,15
2029.88,17,15,22
2029.89,20,15,37
2029.94,14,18,39
2030.20,10,8,15
2030.31,11,35,15
2030.32,12,17,38
2030.52,13,15,29
2030.86,10,33,17
2030.94,11,11,29
2031.58,10,25,16
2031.67,12,15,15
2032.38,12,13,15
2032.56,11,11,15
2039.28,11,27,17
2040.87,11,22,100
2041.99,12,11,15
2042.17,10,10,15
2042.19,17,16,21
2042.26,12,11,15
2051.18,10,20,15
2051.32,10,10,15
2052.56,10,21,16
2068.25,10,17,16
2068.58,14,31,15
2070.51,10,23,15
2070.59,13,14,15
2070.76,10,18,16
2071.42,15,14,15
2071.98,11,17,17
2071.98,10,20,15
2072.07,13,12,17
2073.01,13,16,15
2074.73,11,30,15
2076.54,10,10,15
2076.73,14,24,20
2077.62,12,17,15
2077.89,13,14,15
2078.22,10,23,23
2078.24,11,14,17
2079.58,11,19,18
2080.41,11,22,16
2080.53,12,23,15
2080.61,10,31,15
2081.13,11,14,15
2081.19,10,18,15
2081.23,10,12,15
2081.53,15,15,15
2081.79,16,14,15
2081.86,10,13,15
2082.09,11,21,16
2082.63,10,15,15
2082.90,10,16,15
2083.51,10,12,15
2083.56,11,11,18
2084.44,11,21,15
2085.23,10,13,15
2087.67,10,30,16
2087.73,11,25,15
2087.88,13,32,15
2087.90,12,9,15
2088.14,10,35,15
2088.23,12,26,18
2088.24,14,12,15
2088.24,11,31,620
2088.65,15,11,15
2091.49,10,28,15
2091.79,10,35,15
2091.92,10,19,15
2092.93,10,16,15
2093.03,11,15,15
2097.28,12,26,15
2097.50,12,32,15
2098.03,10,25,15
2098.56,16,21,33
2098.65,12,19,21
2098.71,10,30,15
2098.92,14,13,15
2099.09,10,9,15
2099.56,11,21,37
2100.26,10,23,15
2100.27,11,15,15
2100.58,10,26,15
2100.67,12,23,27
2101.07,10,15,15
2101.10,10,16,15
2101.15,10,37,24
2101.21,10,17,15
2101.24,10,13,15
2101.25,10,13,25
2101.34,15,13,19
2101.35,11,16,15
2101.43,11,23,15
2101.49,10,20,28
2101.53,10,22,15
2101.60,10,37,15
2101.98,13,42,63
2102.01,10,11,15
2102.10,12,26,15
2102.11,11,22,15
2102.11,12,27,43
2102.15,10,23,15
2102.51,11,10,15
2102.99,10,22,15
2103.69,10,15,15
2104.93,10,16,15
2105.00,10,16,15
2105.45,11,18,15
2106.41,10,14,15
2106.44,10,21,18
2107.24,10,27,15
2109.50,12,12,15
2111.41,10,20,19
2114.44,12,16,15
2114.62,12,14,15
2114.79,10,13,21
2115.14,13,17,15
2115.95,12,12,15
2116.46,11,12,15
2116.70,12,19,15
2116.71,15,13,15
2117.58,11,14,15
2118.14,13,13,15
2118.62,10,12,15
2119.29,10,17,16
2119.82,11,20,15
2119.83,13,12,16
2120.13,10,12,20
2120.48,11,13,15
2120.48,10,20,16
2120.86,10,15,15
2121.03,14,18,15
2121.16,14,39,17
2121.19,16,10,15
2121.26,14,15,15
2121.60,10,11,15
2122.03,10,13,18
2122.25,10,13,16
2122.31,18,16,36
2122.55,15,20,33
2122.58,18,12,16
2122.81,13,14,15
2122.82,14,10,16
2122.85,12,22,31
2122.92,11,12,15
2122.95,15,14,15
2123.04,12,11,15
2123.34,12,12,15
2123.41,11,12,18
2123.49,10,12,17
2123.97,10,15,15
2134.65,10,15,15
2134.65,13,16,31
2134.70,11,12,15
2134.74,10,16,19
2134.87,12,14,15
2135.04,11,19,15
2135.28,10,15,15
2135.36,14,14,19
2135.54,11,11,15
2135.60,10,19,15
2135.61,11,13,24
2135.65,11,12,15
2135.73,13,17,21
2135.73,11,23,15
2135.73,11,24,15
2135.73,10,18,15
2135.79,10,21,15
2135.83,19,24,38
2135.84,11,17,16
2135.85,10,29,15
2135.85,13,16,22
2135.86,17,19,16
2135.92,12,28,12
2135.92,10,20,15
2135.92,10,18,19
2135.92,10,10,15
2135.94,11,17,35
2135.95,13,16,15
2135.96,11,20,15
2135.96,10,12,15
